<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-45.33366394 -45.78684998 -46.36952209]
[-45.52788925 -45.91633606 -46.69322968]
[-43.97410583 -46.1753006  -45.72211075]
[-44.23307037 -45.46315002 -45.46315002]
[-43.58565521 -44.16832733 -44.62151337]
[-44.81573486 -45.39840698 -45.52788925]
[-45.52788925 -46.43426514 -45.91633606]
[-44.81573486 -45.0746994  -45.20418549]
[-45.72211075 -45.98107529 -45.72211075]
[-46.82270813 -47.92330933 -47.47011948]
[-46.1753006  -47.01692963 -47.21115494]
[-46.62848663 -46.82270813 -46.9521904 ]
[-45.85159302 -46.56374359 -45.98107529]
[-46.04581451 -46.30477905 -46.88745117]
[-45.46315002 -45.91633606 -46.7579689 ]
[-44.36254883 -46.04581451 -46.24003983]
[-44.4920311  -45.26892471 -45.59262848]
[-44.16832733 -45.20418549 -44.94522095]
[-44.88047791 -45.46315002 -45.0746994 ]
[-44.75099564 -45.0746994  -44.88047791]
[-45.39840698 -45.65737152 -45.20418549]
[-44.55677032 -44.75099564 -45.26892471]
[-45.98107529 -46.7579689  -46.9521904 ]
[-45.33366394 -45.85159302 -45.72211075]
[-46.1753006  -46.49900436 -46.49900436]
[-45.78684998 -46.36952209 -46.36952209]
[-45.72211075 -46.04581451 -47.08167267]
[-43.19721222 -44.68625641 -44.68625641]
[-44.16832733 -45.72211075 -45.13944244]
[-43.77988052 -44.36254883 -44.62151337]
[-43.06772995 -43.52091599 -44.42729187]
[-44.42729187 -44.55677032 -44.42729187]
[-44.42729187 -44.23307037 -43.7151413 ]
[-43.90936279 -44.4920311  -44.2978096 ]
[-45.46315002 -46.1753006  -46.30477905]
[-45.72211075 -46.1753006  -46.30477905]
[-45.33366394 -45.39840698 -45.39840698]
[-45.39840698 -46.04581451 -45.78684998]
[-44.4920311  -45.20418549 -45.39840698]
[-44.36254883 -44.55677032 -45.59262848]
[-43.7151413  -45.78684998 -45.39840698]
[-42.80876541 -45.00996017 -44.81573486]
[-43.58565521 -44.16832733 -44.62151337]
[-43.65039825 -44.42729187 -45.33366394]
[-44.10358429 -44.88047791 -43.84461975]
[-44.36254883 -44.55677032 -44.23307037]
[-43.90936279 -44.4920311  -44.2978096 ]
[-43.13246918 -44.68625641 -43.90936279]
[-43.39143372 -44.42729187 -43.77988052]
[-44.2978096  -44.94522095 -44.55677032]
[-44.10358429 -44.36254883 -44.2978096 ]
[-43.45617676 -43.7151413  -44.4920311 ]
[-43.26195145 -43.65039825 -44.62151337]
[-43.77988052 -45.52788925 -45.00996017]
[-43.19721222 -45.46315002 -45.00996017]
[-42.4203186  -42.93824768 -42.93824768]
[-43.39143372 -43.77988052 -44.2978096 ]
[-43.77988052 -44.55677032 -43.7151413 ]
[-43.58565521 -43.7151413  -42.93824768]
[-43.13246918 -43.45617676 -43.65039825]
[-42.35557556 -43.90936279 -43.39143372]
[-42.80876541 -43.90936279 -43.65039825]
[-43.7151413  -44.55677032 -44.68625641]
[-43.97410583 -44.36254883 -43.77988052]
[-43.77988052 -43.52091599 -43.58565521]
[-43.65039825 -44.16832733 -45.13944244]
[-43.45617676 -44.16832733 -44.94522095]
[-44.16832733 -45.91633606 -45.91633606]
[-41.90238953 -43.77988052 -43.32669067]
