tm1,tm2,steps
16,18,55519
4,15,55538
13,7,55558
59,70,55687
28,31,55746
11,8,55765
29,29,55823
39,45,55907
10,12,55929
9,0,55938
14,6,55958
42,28,56028
55,41,56124
11,3,56138
25,23,56186
10,0,56196
10,9,56215
7,16,56238
47,53,56338
19,17,56374
1,9,56384
10,3,56397
6,14,56417
16,17,56450
24,23,56497
7,14,56518
4,12,56534
1,9,56544
1,9,56554
34,36,56624
21,32,56677
61,51,56789
5,6,56800
96,88,56984
49,36,57069
2,9,57080
21,10,57111
10,2,57123
10,0,57133
9,4,57146
12,11,57169
18,10,57197
10,1,57208
20,18,57246
17,17,57280
19,9,57308
54,49,57411
12,12,57435
17,16,57468
27,24,57519
8,18,57545
9,17,57571
3,9,57583
23,18,57624
8,1,57633
38,29,57700
12,13,57725
18,23,57766
7,1,57774
6,13,57793
20,21,57834
25,33,57892
19,23,57934
24,34,57992
51,56,58099
1,9,58109
15,14,58138
69,65,58272
25,14,58311
24,15,58350
9,8,58367
10,12,58389
20,13,58422
126,141,58689
19,23,58731
5,11,58747
9,0,58756
8,6,58770
13,10,58793
10,2,58805
8,5,58818
26,32,58876
3,10,58889
6,14,58909
4,13,58926
2,10,58938
3,10,58951
62,70,59083
19,22,59124
13,13,59150
23,32,59205
32,30,59267
20,22,59309
14,4,59327
15,13,59355
13,5,59373
20,15,59408
2,10,59420
2,10,59432
5,13,59450
24,26,59500
9,7,59516
10,8,59534
12,6,59552
9,9,59570
0,8,59578
39,38,59655
34,34,59723
60,48,59831
69,69,59969
34,32,60035
21,32,60088
9,3,60100
53,50,60203
6,4,60213
8,1,60222
8,0,60230
17,11,60258
23,13,60294
11,1,60306
2,13,60321
29,35,60385
30,32,60447
9,17,60473
13,25,60511
64,70,60645
14,12,60671
6,7,60684
9,0,60693
12,6,60711
12,2,60725
2,9,60736
8,2,60746
25,24,60795
30,28,60853
21,27,60901
35,37,60973
33,36,61042
9,9,61060
1,8,61069
6,2,61077
30,38,61145
22,15,61182
9,0,61191
24,15,61230
63,66,61359
7,5,61371
28,36,61435
20,30,61485
10,2,61497
11,21,61529
32,41,61602
26,34,61662
