tm1,tm2,steps
26,28,23491
11,1,23503
27,27,23557
11,12,23580
41,43,23664
26,37,23727
15,19,23761
13,12,23786
37,38,23861
40,56,23957
14,9,23980
26,25,24031
26,29,24086
33,32,24151
12,9,24172
18,17,24207
11,9,24227
55,46,24328
16,14,24358
22,27,24407
17,19,24443
13,7,24463
14,18,24495
15,15,24525
31,32,24588
40,40,24668
36,36,24740
10,8,24758
15,17,24790
12,10,24812
15,11,24838
10,10,24858
12,12,24882
10,13,24905
7,9,24921
60,58,25039
17,20,25076
25,25,25126
19,19,25164
16,11,25191
18,17,25226
12,13,25251
16,17,25284
18,10,25312
5,10,25327
4,10,25341
15,15,25371
1,9,25381
15,12,25408
3,13,25424
20,15,25459
12,5,25476
9,10,25495
3,11,25509
11,3,25523
20,20,25563
14,12,25589
14,26,25629
15,24,25668
13,13,25694
23,18,25735
24,20,25779
15,15,25809
10,1,25820
10,10,25840
9,9,25858
21,21,25900
9,11,25920
10,20,25950
18,23,25991
17,15,26023
20,19,26062
27,23,26112
10,15,26137
12,10,26159
13,9,26181
37,42,26260
26,27,26313
16,17,26346
18,17,26381
26,24,26431
44,43,26518
19,20,26557
23,25,26605
21,20,26646
11,13,26670
21,21,26712
22,23,26757
7,8,26772
14,13,26799
7,8,26814
12,13,26839
13,8,26860
13,15,26888
9,11,26908
58,48,27014
89,83,27186
81,87,27354
33,33,27420
6,9,27435
23,21,27479
35,33,27547
12,4,27563
2,10,27575
19,13,27607
11,9,27627
17,9,27653
16,15,27684
16,14,27714
21,19,27754
17,9,27780
25,32,27837
4,8,27849
9,4,27862
14,15,27891
11,10,27912
16,14,27942
16,16,27974
7,10,27991
14,7,28012
24,24,28060
17,8,28085
7,14,28106
17,16,28139
52,53,28244
39,39,28322
8,12,28342
7,15,28364
16,13,28393
36,36,28465
42,34,28541
11,15,28567
17,14,28598
61,67,28726
49,50,28825
21,20,28866
64,70,29000
10,6,29016
3,11,29030
31,33,29094
40,41,29175
36,37,29248
22,23,29293
30,28,29351
85,95,29531
22,21,29574
47,41,29662
20,21,29703
15,17,29735
11,9,29755
25,27,29807
20,20,29847
47,49,29943
9,9,29961
11,8,29980
9,10,29999
42,37,30078
30,30,30138
10,14,30162
7,8,30177
22,23,30222
37,37,30296
23,23,30342
7,9,30358
30,29,30417
11,11,30439
34,35,30508
27,21,30556
40,34,30630
10,9,30649
24,22,30695
9,5,30709
18,17,30744
11,11,30766
19,16,30801
7,5,30813
10,1,30824
11,9,30844
11,6,30861
14,8,30883
2,8,30893
7,6,30906
6,9,30921
3,9,30933
11,22,30966
19,19,31004
11,3,31018
9,1,31028
15,12,31055
1,8,31064
14,14,31092
13,13,31118
7,11,31136
9,8,31153
12,10,31175
13,6,31194
16,12,31222
9,16,31247
4,10,31261
15,15,31291
26,31,31348
26,28,31402
39,41,31482
12,11,31505
34,35,31574
40,43,31657
29,27,31713
22,17,31752
33,23,31808
13,16,31837
14,13,31864
33,37,31934
18,21,31973
26,27,32026
11,7,32044
9,10,32063
22,21,32106
16,17,32139
42,33,32214
15,14,32243
41,36,32320
21,20,32361
75,65,32501
137,138,32776
86,73,32935
17,17,32969
54,45,33068
19,17,33104
256,244,33604
18,17,33639
142,145,33926
35,31,33992
230,218,34440
9,9,34458
19,20,34497
31,33,34561
16,14,34591
8,7,34606
7,5,34618
8,8,34634
18,17,34669
12,10,34691
4,9,34704
10,2,34716
12,9,34737
15,6,34758
35,30,34823
11,19,34853
3,11,34867
1,8,34876
17,22,34915
12,22,34949
14,8,34971
17,19,35007
24,34,35065
17,25,35107
35,35,35177
28,21,35226
15,22,35263
14,6,35283
32,37,35352
27,22,35401
38,36,35475
73,71,35619
30,29,35678
15,15,35708
16,11,35735
16,15,35766
5,13,35784
31,31,35846
45,34,35925
11,18,35954
23,15,35992
21,18,36031
32,29,36092
15,15,36122
19,20,36161
188,174,36523
16,16,36555
26,27,36608
75,63,36746
67,67,36880
32,30,36942
8,2,36952
63,47,37062
70,58,37190
8,7,37205
18,19,37242
32,31,37305
11,12,37328
11,14,37353
9,6,37368
11,10,37389
23,21,37433
25,25,37483
80,79,37642
36,35,37713
29,29,37771
6,13,37790
16,22,37828
16,23,37867
23,23,37913
1,7,37921
2,9,37932
6,14,37952
4,11,37967
7,15,37989
15,25,38029
7,9,38045
3,10,38058
1,10,38069
4,12,38085
9,14,38108
6,12,38126
10,11,38147
18,22,38187
25,32,38244
1,8,38253
9,16,38278
15,8,38301
26,17,38344
41,34,38419
11,11,38441
61,60,38562
41,41,38644
141,144,38929
74,78,39081
61,59,39201
34,34,39269
16,17,39302
96,82,39480
11,11,39502
22,22,39546
91,94,39731
23,22,39776
18,17,39811
19,18,39848
14,13,39875
33,34,39942
11,11,39964
17,18,39999
